,title,guid,link,description,year_month
30167,I will only cut taxes in responsible way - Hunt,https://www.bbc.co.uk/news/uk-politics-68461581#0,https://www.bbc.co.uk/news/uk-politics-68461581,The chancellor tells the BBC he hopes to show a path towards lower taxes in Wednesday's Budget.,2024-03
22608,Santander: Man loses £3k and can't get money from bank,https://www.bbc.co.uk/news/uk-wales-66890530,https://www.bbc.co.uk/news/uk-wales-66890530?at_medium=RSS&at_campaign=KARANGA,"Tony Hawkins has not had bank access since the middle of August as Santander is branded ""uncaring"".",2023-09
32105,Parents blame steroids for bodybuilder son's death,https://www.bbc.co.uk/news/uk-england-south-yorkshire-68821985#0,https://www.bbc.co.uk/news/uk-england-south-yorkshire-68821985,"Former Mr Olympia competitor Neil Currey died in September 2023 in Sheffield, an inquest hears.",2024-04
31262,Who starts England's Euro opener - do you agree with our pundits?,https://www.bbc.co.uk/sport/football/68606458#10,https://www.bbc.co.uk/sport/football/68606458,Do you agree with our pundits on who starts for England at Euro 2024? Have your say here.,2024-03
38717,1.2% of prison places in England and Wales free,https://www.bbc.com/news/articles/cdxl8p115gxo#5,https://www.bbc.com/news/articles/cdxl8p115gxo,"Official figures showed there were 88,521 people imprisoned as of Friday, just days before a policy of early release begins.",2024-09
14761,"'I earn £30,000 a year and I'm still struggling'",https://www.bbc.co.uk/news/business-64824078,https://www.bbc.co.uk/news/business-64824078?at_medium=RSS&at_campaign=KARANGA,Young people tell the BBC what help they hope will be announced in the Spring Budget on Wednesday.,2023-03
40495,Officer reveals how he locked eyes with would-be Trump assassin,https://www.bbc.com/news/articles/cvgdgl5p40yo#3,https://www.bbc.com/news/articles/cvgdgl5p40yo,"A bipartisan US House report, based on dozens of interviews, called the July assassination attempt ""preventable"". ",2024-10
40548,Law change could stop me dying like my parents,https://www.bbc.com/news/articles/c8j7jvj8wxlo#8,https://www.bbc.com/news/articles/c8j7jvj8wxlo,"Tom Marshall's parents took their own lives, but he says a law change may have helped them.",2024-10
12116,"The Papers: 'Light of our life' and '£40,000 hit to incomes'",https://www.bbc.co.uk/news/blogs-the-papers-64099075,https://www.bbc.co.uk/news/blogs-the-papers-64099075?at_medium=RSS&at_campaign=KARANGA,"Tributes to Elle Edwards, who was shot dead in a pub on Christmas Eve, dominate Tuesday's front papers.",2022-12
3559,Drivers warned of Platinum Jubilee traffic delays,https://www.bbc.co.uk/news/business-61627416,https://www.bbc.co.uk/news/business-61627416?at_medium=RSS&at_campaign=KARANGA,The RAC estimates 19.5 million road trips over the break with traffic likely to be worst on Friday.,2022-05
942,Oscars 2022: Hollywood gears up for its biggest night,https://www.bbc.co.uk/news/entertainment-arts-60872305,https://www.bbc.co.uk/news/entertainment-arts-60872305?at_medium=RSS&at_campaign=KARANGA,All you need to know about Sunday's Oscars ceremony.,2022-03
27325,January transfer window: Who could be on the move?,https://www.bbc.co.uk/sport/football/67722978,https://www.bbc.co.uk/sport/football/67722978?at_medium=RSS&at_campaign=KARANGA,The January transfer window is open and several players have been linked with a move to and from Premier League clubs.,2023-12
31605,Lionesses held by Sweden in Euro 2025 qualifier,https://www.bbc.co.uk/sport/football/68746067#0,https://www.bbc.co.uk/sport/football/68746067,England's defence of their European title gets off to a disappointing start as they are held to a draw by Sweden in their Euro 2025 qualifier.,2024-04
3384,Newspaper headlines: PM 'damaged but unbowed' as Gray report criticises No 10 culture,https://www.bbc.co.uk/news/blogs-the-papers-61588024,https://www.bbc.co.uk/news/blogs-the-papers-61588024?at_medium=RSS&at_campaign=KARANGA,Thursday's front pages appear to be starkly divided over the fallout from Sue Gray's Partygate report.,2022-05
